,x1,y1,x2,y2
0,700,71,740,124
0,48,189,85,191
0,14,276,117,180
0,162,420,191,329
0,2,115,44,110
0,494,54,528,59
0,92,110,103,228
0,43,69,79,66
0,0,42,49,46
0,67,9,103,15
0,581,46,628,50
0,1,66,86,57
0,125,5,167,6
0,469,36,513,32
0,738,94,783,92
0,826,229,852,231
0,41,196,92,198
0,755,54,822,54
0,0,38,62,124
0,59,57,95,53
0,750,225,763,201
0,0,109,34,101
0,171,14,195,16
0,28,288,28,231
0,769,58,843,62
0,101,440,134,440
0,101,437,134,437
0,758,146,784,151
0,741,124,784,130
0,726,26,763,26
0,673,438,709,457
0,25,174,25,93
0,794,165,823,164
0,749,212,782,223
0,744,120,784,126
0,843,235,843,180
0,764,172,846,191
0,727,82,766,86
0,1,76,60,71
0,425,13,493,14
0,1,128,50,134
0,628,30,666,30
0,549,13,580,15
0,257,32,282,35
0,389,19,409,19
0,370,225,410,224
0,62,26,84,27
0,68,118,132,31
0,62,184,91,185
0,770,50,792,50
0,298,8,338,8
0,257,40,282,41
0,794,148,829,85
0,419,405,447,405
0,35,9,61,12
0,92,160,130,212
0,234,44,281,60
0,217,408,268,408
0,611,214,645,213
0,69,135,120,202
0,347,22,373,22
0,341,43,365,44
0,7,21,57,132
0,257,35,282,36
0,366,49,390,49
0,778,35,802,35
0,782,204,849,203
0,257,36,282,37
0,79,1,107,10
0,565,43,588,43
0,86,0,107,2
0,108,215,131,215
0,779,199,853,81
0,745,228,758,203
0,754,127,787,132
0,27,86,76,85
0,422,49,442,49
0,33,19,63,19
0,687,32,720,32
0,588,52,613,55
0,620,456,635,430
0,781,193,849,74
0,5,191,5,58
0,828,9,849,9
